primaryID	secondaryID
CHEBI:9727	CHEBI:94526
CHEBI:9915	CHEBI:66345
CHEBI:9997	CHEBI:46395
CHEBI:10023	CHEBI:127308
CHEBI:10036	CHEBI:13221
CHEBI:10038	CHEBI:69747
CHEBI:10041	CHEBI:66324
CHEBI:10050	CHEBI:46527
CHEBI:10110	CHEBI:619601
CHEBI:10127	CHEBI:139857
CHEBI:10216	CHEBI:173122
CHEBI:10353	CHEBI:68146
CHEBI:10429	CHEBI:66546
CHEBI:10447	CHEBI:66015
CHEBI:10642	CHEBI:26614
CHEBI:10790	CHEBI:6873
CHEBI:11230	CHEBI:53029
CHEBI:11449	CHEBI:58428
CHEBI:11515	CHEBI:59547
CHEBI:11714	CHEBI:7176
CHEBI:11750	CHEBI:64388
CHEBI:11901	CHEBI:57725
CHEBI:12194	CHEBI:53052
CHEBI:12257	CHEBI:668067
CHEBI:12755	CHEBI:79972
CHEBI:13601	CHEBI:1622
CHEBI:13601	CHEBI:20150
CHEBI:13610	CHEBI:1727
CHEBI:13610	CHEBI:20249
CHEBI:13614	CHEBI:20681
CHEBI:13759	CHEBI:2587
CHEBI:13769	CHEBI:34534
CHEBI:13790	CHEBI:7197
CHEBI:13790	CHEBI:21605
CHEBI:13792	CHEBI:21739
CHEBI:15334	CHEBI:6166
CHEBI:15334	CHEBI:13058
CHEBI:15334	CHEBI:21207
CHEBI:15335	CHEBI:20520
CHEBI:15335	CHEBI:11915
CHEBI:15335	CHEBI:2371
CHEBI:15336	CHEBI:22272
CHEBI:15336	CHEBI:2510
CHEBI:15336	CHEBI:13746
CHEBI:15337	CHEBI:10345
CHEBI:15337	CHEBI:12390
CHEBI:15337	CHEBI:22824
CHEBI:15338	CHEBI:13750
CHEBI:15338	CHEBI:22282
CHEBI:15338	CHEBI:2541
CHEBI:15342	CHEBI:40798
CHEBI:15342	CHEBI:2381
CHEBI:15342	CHEBI:13702
CHEBI:15342	CHEBI:22155
CHEBI:15343	CHEBI:40533
CHEBI:15343	CHEBI:2383
CHEBI:15343	CHEBI:13703
CHEBI:15343	CHEBI:22158
CHEBI:15344	CHEBI:40507
CHEBI:15344	CHEBI:2391
CHEBI:15344	CHEBI:22172
CHEBI:15345	CHEBI:41333
CHEBI:15345	CHEBI:2392
CHEBI:15345	CHEBI:11756
CHEBI:15345	CHEBI:13706
CHEBI:15345	CHEBI:22173
CHEBI:15346	CHEBI:741566
CHEBI:15346	CHEBI:41631
CHEBI:15346	CHEBI:41597
CHEBI:15346	CHEBI:3771
CHEBI:15346	CHEBI:13294
CHEBI:15346	CHEBI:13295
CHEBI:15346	CHEBI:13298
CHEBI:15346	CHEBI:23355
CHEBI:15347	CHEBI:40571
CHEBI:15347	CHEBI:2398
CHEBI:15347	CHEBI:13708
CHEBI:15347	CHEBI:22182
CHEBI:15348	CHEBI:41622
CHEBI:15348	CHEBI:11597
